Generator,get_size,density,average_clustering,degree_assortativity_coefficient,parameters
barabasi_albert_graph,1000,0.18018018018018017,0.27390018498119745,-0.017660224005096186,"[1000, 100]"
barabasi_albert_graph,1000,0.3203203203203203,0.4188239531586513,-0.06979261996999729,"[1000, 200]"
barabasi_albert_graph,1000,0.42042042042042044,0.5369006984926099,-0.1630343458550277,"[1000, 300]"
barabasi_albert_graph,1000,0.4804804804804805,0.6370685647200214,-0.27775010901939423,"[1000, 400]"
barabasi_albert_graph,1000,0.5005005005005005,0.7244350747553299,-0.3974249643471304,"[1000, 500]"
barabasi_albert_graph,1000,0.4804804804804805,0.7911034285505166,-0.5171179655170148,"[1000, 600]"
barabasi_albert_graph,1000,0.42042042042042044,0.837972250334655,-0.6428769203442237,"[1000, 700]"
barabasi_albert_graph,1000,0.3203203203203203,0.8703729140095694,-0.7728171567494486,"[1000, 800]"
