graph,assortativity,clustering,density,target
graph_61.npz,-0.03662987063418548,0.40453724761091364,0.403030303030303,0.4
graph_62.npz,-0.005866777986087811,0.4543567706258444,0.45454545454545453,0.45
graph_63.npz,0.01576374328201009,0.5010354274425662,0.502020202020202,0.5
graph_64.npz,-0.016219682833030626,0.5498236863830147,0.5448484848484848,0.55
graph_65.npz,-0.02743959898069321,0.6080874966145495,0.6066666666666667,0.6000000000000001
graph_66.npz,-0.0007098368013172001,0.6421152634755503,0.6430303030303031,0.6500000000000001
graph_67.npz,-0.008620926866654726,0.695414668335194,0.6977777777777778,0.7000000000000001
graph_68.npz,-0.012719753568684803,0.752412637451111,0.7525252525252525,0.7500000000000001
graph_69.npz,-0.020456263774131258,0.7934497672421119,0.7941414141414141,0.8
graph_70.npz,-0.014832238225956099,0.8522406600546449,0.8525252525252526,0.8500000000000001
graph_71.npz,-0.01793459924759338,0.9082938424779795,0.908080808080808,0.9000000000000001
graph_72.npz,-0.08977307315093544,0.040246031746031745,0.04505050505050505,0.05
graph_73.npz,-0.0010396625140338055,0.1017923547041194,0.1004040404040404,0.1
graph_74.npz,-0.0406053933790117,0.1566779150165878,0.15616161616161617,0.15000000000000002
graph_75.npz,0.02637538861130128,0.194164636230493,0.19353535353535353,0.2
graph_76.npz,0.006248156456458045,0.24873156459621473,0.2498989898989899,0.25
graph_77.npz,-0.01619804577280673,0.2978882085270744,0.29494949494949496,0.3
graph_78.npz,-0.05201848108158447,0.34326747930829493,0.3428282828282828,0.35000000000000003
graph_79.npz,-0.007743759411879682,0.39167666488900293,0.39191919191919194,0.4
graph_80.npz,-0.01224785953537272,0.4531102577091438,0.45131313131313133,0.45
graph_81.npz,-0.034734401838996204,0.495506544151244,0.49696969696969695,0.5
graph_82.npz,-0.02986463324392547,0.5573892990561479,0.5561616161616162,0.55
graph_83.npz,-0.03491390571593198,0.5961673123343157,0.5969696969696969,0.6000000000000001
graph_84.npz,-0.027122679175763605,0.653741219362252,0.6541414141414141,0.6500000000000001
graph_85.npz,-0.01758643324089496,0.6877170923165582,0.6876767676767677,0.7000000000000001
graph_86.npz,-0.0016777408523526596,0.7498451059024525,0.7496969696969698,0.7500000000000001
graph_87.npz,-0.022226295111803712,0.7929342694945838,0.7933333333333333,0.8
graph_88.npz,-0.01833971639735351,0.8458196845547014,0.8456565656565657,0.8500000000000001
graph_89.npz,-0.021170980224448882,0.8933745475565487,0.8935353535353535,0.9000000000000001
